Primary Uniprot Acc.;Ratio M/L normalized COMBINED
P63261;1.0164
P08670;1.123
P35579;0.98584
P21333;0.97947
P07355-2;1.1448
Q15149;1.0234
P02751;1.324
P04406;1.1259
P14618;1.0817
P68371;0.99339
Q14315;1.2265
P06733;1.0073
P68104;0.79212
O43707;1.084
P13639;0.62866
Q00610;1.0443
P68032;1.1104
P04075;1.0131
P02545;1.3399
Q9Y490;0.86678
Q5QNW6-2;1.0467
Q09666;0.87051
P48681;1.0504
P00338-3;1.0136
P62937;1.0784
P08758;1.159
P11142;0.62407
P08238;0.74456
P62805;1.0407
P11021;1.0948
Q6FI13;1.0329
P14625;1.3101
P49327;1.1053
P60174;1.2396
Q14204;0.98368
P26038;0.89474
P12111;1.2955
P07737;0.96234
P18206;0.94648
P08133;1.1208
P63104;0.95755
P17661;1.4354
P62979;0.94523
P07237;1.3465
Q06830;1.1111
P09382;1.0817
Q71DI3;0.98206
P06576;1.2247
P12814;0.93044
P46940;1.1815
P30101;1.3239
P07437;0.95098
P22314;1.1304
P55072;1.0274
Q13813;0.96922
P50454;1.1832
P00558;1.1258
P23284;1.2714
P07900-2;0.87047
P37802;0.98791
O75369-8;1.0113
Q07065;1.458
P18669;1.028
P62258;1.0337
P53396;0.95603
P04083;1.0631
P25705;1.304
Q16658;1.1237
P29401;1.2673
Q01082;1.0097
P07195;0.93774
P23528;1.0326
P60660;0.98761
P10809;1.0877
P09211;1.3497
P04792;1.144
O00299;0.85438
P60842;0.64187
Q01995;0.69298
P23396;0.82298
P50395;0.96972
P62701;0.79591
P12236;0.9983
P78527;1.1489
P18124;0.84811
P15144;2.1526
Q14697;1.4166
P11413-2;1.3663
P11055;1.1633
P06396;1.4932
P36578;0.90394
P08865;0.99349
P22392-2;0.87529
P26641;0.82168
P22626;1.0146
Q562R1;1.0323
Q14152;0.71279
P55060;0.85185
P61247;0.80995
Q15084-2;1.4219
P62826;0.87653
P06703;1.1105
P61978-2;1.0417
P27797;1.2139
Q14764;1.3181
P09936;1.2531
O75083;0.9464
Q00839;1.0115
P06748;0.8616
P15880;0.82116
Q01518-2;0.86559
Q9NZM1;0.99819
P13667;1.2773
P62269;0.84388
P09651;0.8616
P46781;0.81269
P40926;1.2037
P50990;0.8532
P06744-2;1.0758
P07339;2.0107
P31946;0.99023
Q14974;0.85105
P27348;1.0701
P12277;0.98362
P49368;0.83814
P30041;1.1081
Q9Y696;0.86681
Q08211;0.93772
O60701;1.0993
P62917;0.8465
P63244;0.78638
P26373;0.83322
Q9Y4L1;1.0475
Q9P2E9;0.89699
P38646;0.95736
P05388;0.77789
P53621;0.91416
P46782;0.83088
P61158;0.99117
P48643;0.83737
P62424;0.82731
O00410-3;0.77018
P21589;1.1996
Q99832;0.88323
Q7KZF4;0.92967
P62241;0.857
P17987;0.84795
P40227;0.88178
P78371;0.85332
P07910;1.0569
P52272;1.0112
P31949;1.0927
Q99497;1.1039
P50991;0.84782
Q07954;1.6841
P62280;0.85657
Q13509;0.9579
P59998;0.99283
P19338;0.91412
Q00341;0.80968
P62081;0.817
P61981;0.89311
P11216;1.1888
Q86VP6;1.2058
P52565;0.95756
P55786;1.5379
P11940;0.61091
P42704;0.98229
P62249;0.86618
P78417;0.98987
Q15365;0.94045
P13010;0.95528
P62906;0.83432
Q02878;0.78547
P19367;1.2173
P04843;1.2151
Q9BUF5;0.88486
Q9ULV4;0.93571
P07814;0.95589
P12956;0.91662
P23246;0.94629
P25398;0.81874
P08708;0.80383
P31939;0.89824
P60709;0.98348
P37837;0.99748
P21980;1.3938
P35232;1.1242
P02452;1.2009
P67936;0.96877
P39019;0.84371
P52209;1.2202
P05556;1.2116
P15559;1.3688
P62753;0.77328
P27635;0.81776
Q07020;0.88699
P30153;0.79362
P16403;0.94502
O00469-2;0.91671
P62913;0.8696
P47756-2;1.0255
P61604;1.0611
P40429;0.8615
P62829;0.84818
P21796;1.3888
P63241-2;0.87706
P34932;0.94276
P04844;1.181
P12109;1.7024
P26640;0.96376
Q16851;0.87318
P26599-3;0.9507
Q8WZ42-8;0.98175
O60506;0.82731
Q01813;0.87293
Q6UVK1;0.90315
P62158;1.0254
P46777;0.82359
Q13200;0.76403
P41250;0.82434
Q14103;1.0247
P05121;0.24019
P62750;0.83573
P00387-3;1.2723
P02511;0.74641
Q6NZI2;1.0145
Q8WUM4;1.0482
P39023;0.78345
P62851;0.82049
P31948;0.84041
P32969;0.85945
P30086;1.2856
P33176;0.86093
Q9BQE3;0.95903
P62277;0.83112
P29692-2;0.76403
P08107;0.77968
P62820;0.88356
P62244;0.83668
O00159-3;1.148
P27824;1.0766
Q9BSJ8-2;1.109
O60664;1.1433
P10599;1.0593
Q9H299;1.0921
Q9NYU2;1.3452
P13693;0.6099
Q92616;0.9385
P14174;1.1698
Q9NZN4;1.3868
P43243;0.98724
P04632;1.0289
Q15366-3;0.79566
P25786-2;1.0746
P98160;2.0432
P17655;0.99751
Q03135;1.3004
P61160;0.92902
P30050;0.82544
O75390;1.1128
Q12906;1.0614
O75396;1.2406
O00571;0.58494
P63000-2;0.88647
Q9Y678;0.74658
Q13838-2;1.0545
P84098;0.78484
P35609;0.96181
P61313;0.81503
Q9NQC3;1.1572
P32119;1.4907
P60866-2;0.79601
P07858;2.1955
P31943;0.96709
P26006-1;1.3374
P84103;0.98426
P83731;0.91479
Q16531;1.2549
P62263;0.84465
Q16881;1.1221
P25787;1.0872
Q96AG4;0.87219
O15144;1.0569
P13797;0.93557
O75874;1.5605
P48047;1.2057
Q04917;0.83575
P17844;0.54757
Q15436;1.0343
P61254;0.82865
P60900;1.0913
Q15233;0.91236
P27708;0.7914
P26639;0.85312
P20700;0.98858
P18621;0.81395
Q99623;1.0874
Q16555;1.1904
P45880-1;1.3215
O94979-8;0.9174
P40939;1.3592
P23526;0.93287
P51149;0.97626
Q02809;1.6348
Q96TA1;0.87451
P02795;0.81894
Q8NBS9;1.2516
P16401;1.0939
O15145;0.94179
P17066;0.68212
P12004;0.61707
P35268;0.88336
P41252;1.0515
O75643;0.91626
Q15907;0.85885
P61353;0.8543
P18077;0.83421
P62136;0.89281
P60953;0.97345
P49411;1.2717
O95782;1.0511
P04899-4;1.6065
P14866;1.039
O00231-2;0.96456
P05387;0.80732
P05023;1.1707
P50914;0.98257
P11586;0.84791
O43175;1.1269
Q9UQ80;0.7956
Q13885;0.84526
P09429;0.97513
Q15075;1.3232
P40925;1.1934
Q13740;0.97914
P54136;0.90519
P25789;1.0609
P08195-4;0.67914
P24534;0.87777
Q14847;1.031
P13987;1.3857
Q6P2Q9;0.95635
P46821;0.58711
P00505;1.2143
P49588;0.9876
O43242;0.98615
Q16181;1.1781
P12110;1.6266
P31947;1.0375
Q9Y281;1.3046
Q15019-2;1.0721
Q04637;0.58012
P14314;1.2047
P35580-3;1.1922
P46778;0.77322
P11279;1.7273
P05386;0.85405
O14818;1.0378
P62195;0.96899
P46776;0.84429
E7EVA0;1.0304
Q04446;1.1059
P53618;0.8015
Q14019;1.1
P34897;0.94995
Q8WX93;0.91901
P13489;1.0385
Q99536;1.9527
P10768;1.102
P22234;0.92653
P55209;0.7179
P12268;0.76661
P51991;0.97058
P60903;1.2798
P16070;0.97635
P46783;0.80667
P15121;1.6731
P52907;1.0366
P20340;0.89929
Q13162;1.3878
P61163;0.93774
P35998;0.93252
Q15417;0.71133
O15460;1.6581
P63010-2;0.97264
O43852-3;1.1874
P16152;1.0675
P09972;1.0519
O95373;0.65019
P62333;0.99488
Q12905;1.0226
P61088;0.89046
P62873;1.545
P55084;1.4308
P30084;1.336
P42766;0.89675
Q96AY3;1.3357
Q13263;0.92951
Q92499;1.0444
P46779;0.85692
O14950;0.93452
P62888;0.85198
P13674;1.3701
O75347;0.92673
P13591;1.3488
Q9P2J5;1.0626
P39656;1.2293
P30044;1.3265
P14324;1.1815
Q9Y3U8;0.84539
P17980;1.0138
Q00325;1.1475
P04080;1.2185
Q15942;0.78929
Q92973;0.89133
P51148;0.90831
P02794;2.6888
P30048;1.4687
Q9NVA2;1.103
Q9Y265;1.0276
O95336;1.1083
Q9Y3A5;0.78565
Q99613;0.71581
O00303;0.70905
Q9UHD8-5;1.4593
Q14203;1.0379
Q92945;1.0298
P28072;1.1145
P49207;0.8149
P62942;1.2033
P41091;0.87795
Q05682-4;0.93763
P61224;1.046
P16949;1.1674
P55884-2;0.80478
P40261;1.0274
P14868;1.0119
P35606;0.8385
P28066;1.0144
P23527;1.1658
Q92688;0.92819
P61586;0.99342
Q6YHK3;2.566
Q03252;1.1321
Q92598;0.56845
Q02952;0.54226
P07108;1.363
P00568;1.6033
P30040;1.3594
P49773;1.0472
P20618;1.0679
O15143;1.0066
Q9UI30;0.71602
P25788;1.0746
P02786;0.55264
Q6VAB6;1.1793
Q15393;0.91697
O00425;1.0287
P62318;1.0053
P28074;1.08
P17931;2.4546
P47897;0.83876
Q9Y230;1.02
Q9UBG0;1.4633
P56537;0.97741
P35221;1.0316
Q86UP2;1.2854
P49755;1.1861
Q15582;1.4808
Q9Y262;0.7439
P05413;2.427
O43776;0.96969
P24752;1.5975
P62841;0.84419
P00367;1.2841
P49189;1.3203
Q9BWD1;1.1124
Q96QK1;1.1352
P62899-2;0.83323
P62316;0.91517
Q03001;0.80985
P04350;0.88774
Q71U36;0.93857
Q32P28;1.2371
P35237;1.3914
Q14980;1.699
P24539;1.2913
O60662;1.9522
Q15056;0.77908
Q16643;0.95114
Q9UHQ9;1.6657
Q01518;0.95081
Q9Y224;0.97814
Q7L576;1.0326
P20020;1.3402
P06756;1.3608
P00491;0.7254
P05976;0.96007
P08648;0.43076
Q15691;0.74638
P26447;2.0133
Q15029;0.88739
P12829;1.5522
Q99460;0.91985
P38117-2;1.6184
P00352;1.3368
Q04760;1.0129
Q9HDC9;1.2912
P50502;0.86198
P45974;1.0792
Q16891;1.135
Q13404;0.98804
Q9HB71;0.76267
P14550;1.2321
O14980;1.0703
Q13418;0.79303
O15260;1.1219
O75533;0.9939
O43143;0.85238
P61204;0.86639
P54886;1.1448
P51572-2;1.0711
O43795;1.0775
P05141;1.0828
Q9Y3I0;1.1069
Q8WWI1-3;0.69832
Q16222;0.44151
P23381;0.9101
P61077;0.81864
P07384;1.2144
P48556;0.96807
P21291;0.76972
