uniprot ID;60min
P16949;27.20
P06748;14.51
P13796;12.09
Q8nc51;9.89
Q9uf55;9.89
Q9uf55;9.89
P11717;8.37
Q12872;7.77
P27361;7.50
P27361;7.50
P35251;7.02
P28482;6.80
P28482;6.80
Q86wk8;6.59
Q8wxh0;6.04
Q96al1;5.88
O00146;5.73
P37802;5.73
Q9ugp4;5.73
O75122;5.58
P27816;5.44
P68363;5.44
Q5sw79;5.31
Q5sw79;5.31
P11717;5.18
P11717;5.18
Q9ui08;5.18
Q9y6g9;5.18
Q9y6g9;5.18
P01100;5.06
Q8tbm5;5.06
Q8wwi1;5.06
Q8wwi1;5.06
Q9y490;5.06
Q9nul3;4.95
Q9ubc2;4.95
Q9ubc2;4.95
Q9nti5;4.84
P41212;4.84
P41212;4.84
P41212;4.84
Q5t4s7;4.80
Q04759;4.73
Q14160;4.73
Q8wuf5;4.73
Q8wuf5;4.73
P08575;4.63
Q13263;4.53
Q9y2d5;4.44
P52948;4.35
P52948;4.35
Q9ugr2;4.35
Q9ugr2;4.35
O75995;4.27
O75995;4.27
Q7z434;4.27
P06400;4.18
P06400;4.18
Q13153;4.18
Q13153;4.18
Q13330;4.18
Q9bvj6;4.18
Q9y4b5;4.18
P49790;4.11
O75995;4.05
Q8iws0;4.03
Q8ncf5;4.03
Q8iv50;4.03
Q15154;3.96
Q9y580;3.96
P16333;3.89
Q14160;3.89
Q92974;3.89
Q9y478;3.89
A0fgr8;3.75
A0fgr8;3.75
P16949;3.75
P22694;3.75
Q6p3s6;3.75
Q6p3s6;3.75
Q8tbf4;3.75
Q8wxi9;3.75
Q8wxi9;3.75
Q8wxi9;3.75
P25490;3.69
Q6jby9;3.69
Q6jby9;3.69
Q9nqs7;3.63
P06239;3.57
Q7l3e0;3.51
Q8iws0;3.51
Q8iws0;3.51
Q8nfa0;3.51
Q8nfa0;3.51
Q9ukv3;3.45
Q9ukv3;3.45
P54727;3.40
Q96ff9;3.40
Q96ff9;3.40
O15117;3.35
Q9y2x3;3.35
