Uniprot;EGF+I/Ctrl
Q9Y6Y0|A8K8R6|Q6MZF3;1.0
Q9Y6Y0|A8K8R6|Q6MZF3;1.1
Q9Y6X9;0.6
Q9Y6X9;1.1
Q9Y6X9;1.1
Q9Y6X9;1.4
Q9Y6X9;1.8
Q9Y6R9;0.3
Q9Y6R9;0.3
Q9Y6R9;0.5
Q9Y6R9;0.5
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.5
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.6
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.8
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.9
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.9
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.9
Q9Y6R4-1|Q9Y6R4|A6H8W0|Q9H408|A8MVL6|Q9Y6R4-2|Q5VTT9|Q9P1M2;0.9
Q9Y6Q9-1|Q9Y6Q9|A4LAZ5|A6NDA4|A8K0W8|Q569F6|Q59EE8|Q9Y6Q9-5|Q0IIN7|Q0VF45|Q9Y6Q9-3|Q9Y6Q9-2|Q9Y6Q9-4;0.7
Q9Y6Q9-1|Q9Y6Q9|A4LAZ5|A6NDA4|A8K0W8|Q569F6|Q59EE8|Q9Y6Q9-5|Q0IIN7|Q0VF45|Q9Y6Q9-3|Q9Y6Q9-2;0.6
Q9Y6M7-2|Q9Y6M7|Q9Y6M7-3|Q9Y6M7-4|Q9Y6M7-1|A6NIA8;3.0
Q9Y6M7-2|Q9Y6M7|Q9Y6M7-3|Q9Y6M7-4;0.2
Q9Y6G9|A2RRG7|Q6MZE7;0.3
Q9Y6G9|A2RRG7|Q6MZE7;0.5
Q9Y6G9|A2RRG7|Q6MZE7;0.6
Q9Y6G9|A2RRG7|Q6MZE7;1.0
Q9Y6E0-2|Q9Y6E0|Q5U0E6;0.8
Q9Y6D6|Q59FY5;1.0
Q9Y6D5|Q59FR3|Q86TH5;0.7
Q9Y6D5|Q59FR3|Q86TH5;0.7
Q9Y6D5|Q59FR3|Q86TH5;0.8
Q9Y6D5|Q59FR3|Q86TH5;0.8
Q9Y6A5|Q2NKK4;1.1
Q9Y624|Q6FIB4|Q9Y5B2;0.7
Q9Y624|Q6FIB4|Q9Y5B2;0.9
Q9Y618-1|Q9Y618|Q59GM0|Q9Y618-2|Q56D06|Q9BT61;0.2
