Primary Uniprot Acc.;Ratio H/L normalized COMBINED
P63261;1.2912
P08670;0.92979
P35579;0.97272
P21333;0.95692
P07355-2;0.9366
Q15149;1.1424
P02751;0.75544
P04406;1.0659
P14618;1.1423
P68371;1.073
Q14315;2.0086
P06733;0.83487
P68104;0.82348
O43707;1.0875
P13639;0.83119
Q00610;1.0306
P68032;5.2867
P04075;1.094
P02545;2.0916
Q9Y490;0.72043
Q5QNW6-2;0.74015
Q09666;0.62466
P48681;5.2268
P00338-3;0.78104
P62937;1.1177
P08758;1.3729
P11142;0.84878
P08238;0.91995
P62805;1.0519
P11021;1.0873
Q6FI13;0.92271
P14625;1.0965
P49327;1.7663
P60174;1.136
Q14204;1.1008
P26038;0.8994
P12111;0.99782
P07737;0.90763
P18206;1.1576
P08133;1.6634
P63104;1.0346
P17661;5.3774
P62979;1.0608
P07237;1.1836
Q06830;1.2536
P09382;0.88763
Q71DI3;0.76138
P06576;1.4627
P12814;0.8618
P46940;1.0767
P30101;1.2398
P07437;1.0922
P22314;1.0011
P55072;1.2019
Q13813;1.7452
P50454;1.299
P00558;1.0638
P23284;1.1217
P07900-2;0.85738
P37802;0.72605
O75369-8;0.52914
Q07065;0.94139
P18669;0.97305
P62258;1.0977
P53396;0.90477
P04083;0.73293
P25705;1.6317
Q16658;1.1833
P29401;1.0036
Q01082;1.6919
P07195;0.99354
P23528;0.95082
P60660;0.80343
P10809;1.1297
P09211;1.2516
P04792;2.6314
O00299;0.70012
P60842;0.7137
Q01995;0.52544
P23396;0.86256
P50395;1.0009
P62701;0.84046
P12236;1.1442
P78527;0.99875
P18124;0.89717
P15144;1.5795
Q14697;1.321
P11413-2;1.1946
P11055;20.949
P06396;2.3999
P36578;0.88718
P08865;0.78183
P22392-2;0.89173
P26641;0.88627
P22626;0.94154
Q562R1;1.0289
Q14152;0.80156
P55060;0.70912
P61247;0.85923
Q15084-2;1.4121
P62826;0.84601
P06703;1.1453
P61978-2;1.0598
P27797;1.0896
Q14764;1.2678
P09936;1.0297
O75083;0.87969
Q00839;0.97872
P06748;0.79919
P15880;0.8879
Q01518-2;0.72235
Q9NZM1;1.1137
P13667;1.1572
P62269;0.90779
P09651;0.74279
P46781;0.89289
P40926;1.3459
P50990;0.98651
P06744-2;0.98844
P07339;2.648
P31946;0.94743
Q14974;0.83239
P27348;1.0624
P12277;18.273
P49368;0.97308
P30041;2.1626
Q9Y696;0.84597
Q08211;0.95177
O60701;1.0709
P62917;0.89043
P63244;0.82959
P26373;0.84339
Q9Y4L1;1.3114
Q9P2E9;0.51638
P38646;1.1278
P05388;0.79534
P53621;0.77772
P46782;0.8241
P61158;0.94941
P48643;0.96818
P62424;0.90122
O00410-3;0.787
P21589;0.75572
Q99832;0.96751
Q7KZF4;0.9764
P62241;0.95312
P17987;0.92888
P40227;0.98527
P78371;0.99448
P07910;0.93968
P52272;0.99676
P31949;0.95878
Q99497;1.1605
P50991;1.0128
Q07954;1.0663
P62280;0.88303
Q13509;1.0505
P59998;0.92681
P19338;0.87138
Q00341;0.6487
P62081;0.84228
P61981;1.2711
P11216;1.0667
Q86VP6;1.4438
P52565;0.88442
P55786;1.8841
P11940;0.6876
P42704;0.99111
P62249;0.89778
P78417;0.74398
Q15365;1.2523
P13010;0.96379
P62906;0.81714
Q02878;0.87164
P19367;1.1237
P04843;1.2786
Q9BUF5;1.9589
Q9ULV4;0.99922
P07814;1.09
P12956;0.95437
P23246;0.92094
P25398;0.84917
P08708;0.81854
P31939;0.94363
P60709;0.88767
P37837;0.84095
P21980;0.49051
P35232;1.4613
P02452;1.1196
P67936;0.54451
P39019;0.83469
P52209;2.1291
P05556;0.89564
P15559;1.0929
P62753;0.8322
P27635;0.88738
Q07020;0.92256
P30153;0.92875
P16403;0.89403
O00469-2;0.40254
P62913;0.89069
P47756-2;1.0905
P61604;1.2126
P40429;0.90065
P62829;0.91828
P21796;1.4952
P63241-2;0.77819
P34932;1.1839
P04844;1.2532
P12109;2.3879
P26640;0.97646
Q16851;0.67891
P26599-3;0.64446
Q8WZ42-8;12.171
O60506;0.83012
Q01813;0.63721
Q6UVK1;0.86972
P62158;0.91261
P46777;0.81205
Q13200;0.85775
P41250;0.88922
Q14103;1.0479
P05121;0.13354
P62750;0.8164
P00387-3;1.3695
P02511;1.3363
Q6NZI2;1.0488
Q8WUM4;1.051
P39023;0.874
P62851;0.7868
P31948;0.99655
P32969;0.886
P30086;1.4226
P33176;1.6587
Q9BQE3;1.4856
P62277;0.8721
P29692-2;0.791
P08107;1.2365
P62820;1.0176
P62244;0.91136
O00159-3;1.4931
P27824;1.2362
Q9BSJ8-2;1.5796
O60664;1.2257
P10599;0.94416
Q9H299;0.81984
Q9NYU2;1.3425
P13693;0.67181
Q92616;0.98706
P14174;1.1452
Q9NZN4;1.18
P43243;1.0375
P04632;0.82535
Q15366-3;0.93351
P25786-2;1.1404
P98160;2.3889
P17655;0.76365
Q03135;1.1425
P61160;0.85377
P30050;0.84443
O75390;1.2122
Q12906;1.0181
O75396;0.92094
O00571;0.73253
P63000-2;0.92925
Q9Y678;0.66814
Q13838-2;1.1549
P84098;0.81145
P35609;15.125
P61313;0.86844
Q9NQC3;1.7714
P32119;1.5341
P60866-2;0.82839
P07858;1.6062
P31943;0.9216
P26006-1;1.1786
P84103;1.0418
P83731;0.84122
Q16531;1.0847
P62263;0.88731
Q16881;0.95607
P25787;1.1527
Q96AG4;0.70577
O15144;0.89109
P13797;0.82578
O75874;1.6965
P48047;1.4142
Q04917;0.66578
P17844;0.7042
Q15436;0.92593
P61254;0.8894
P60900;1.149
Q15233;0.95558
P27708;0.70384
P26639;0.92885
P20700;0.90636
P18621;0.87969
Q99623;1.3539
Q16555;1.0556
P45880-1;1.5294
O94979-8;0.87299
P40939;1.6348
P23526;1.1365
P51149;1.2096
Q02809;0.97544
Q96TA1;0.66451
P02795;0.3858
Q8NBS9;1.022
P16401;1.0992
O15145;0.8753
P17066;0.86652
P12004;0.36337
P35268;0.98892
P41252;1.1087
O75643;0.99255
Q15907;0.98831
P61353;0.88345
P18077;0.89734
P62136;1.0097
P60953;1.0961
P49411;1.3443
O95782;0.99707
P04899-4;1.3274
P14866;1.0523
O00231-2;1.0947
P05387;0.87659
P05023;1.9496
P50914;0.84795
P11586;0.93272
O43175;1.1524
Q9UQ80;0.83897
Q13885;1.617
P09429;0.76436
Q15075;1.1971
P40925;1.2449
Q13740;0.63899
P54136;0.92328
P25789;1.1482
P08195-4;1.3692
P24534;0.81046
Q14847;0.79098
P13987;1.2705
Q6P2Q9;0.9776
P46821;0.66426
P00505;1.1361
P49588;1.3513
O43242;1.1319
Q16181;1.2792
P12110;1.5538
P31947;1.055
Q9Y281;2.1495
Q15019-2;1.1738
Q04637;0.74758
P14314;1.1392
P35580-3;1.1988
P46778;0.85669
P11279;1.7287
P05386;0.75858
O14818;1.1127
P62195;1.1295
P46776;0.92248
E7EVA0;1.3351
Q04446;0.98981
P53618;0.736
Q14019;0.74713
P34897;1.0413
Q8WX93;1.4496
P13489;1.2736
Q99536;2.6074
P10768;1.1011
P22234;0.84239
P55209;0.93194
P12268;0.85808
P51991;0.9791
P60903;1.5954
P16070;0.58858
P46783;0.71533
P15121;1.6614
P52907;0.99243
P20340;1.2169
Q13162;1.3646
P61163;1.0411
P35998;1.0638
Q15417;1.3657
O15460;1.2836
P63010-2;0.91323
O43852-3;0.94921
P16152;0.93042
P09972;1.1459
O95373;0.66286
P62333;1.1243
Q12905;1.0129
P61088;0.89571
P62873;1.6586
P55084;1.9179
P30084;1.8684
P42766;0.98371
Q96AY3;1.0806
Q13263;0.94287
Q92499;1.0009
P46779;0.88687
O14950;1.0005
P62888;0.89928
P13674;0.99285
O75347;0.95875
P13591;13.571
Q9P2J5;1.4002
P39656;1.154
P30044;1.5606
P14324;1.8469
Q9Y3U8;0.9401
P17980;1.2136
Q00325;1.6045
P04080;1.3422
Q15942;0.51331
Q92973;0.85482
P51148;1.0387
P02794;3.0311
P30048;1.429
Q9NVA2;1.3176
Q9Y265;1.0275
O95336;1.128
Q9Y3A5;1.6353
Q99613;0.83234
O00303;0.91944
Q9UHD8-5;1.6984
Q14203;1.0984
Q92945;0.93956
P28072;1.1779
P49207;0.87472
P62942;1.0147
P41091;1.0061
Q05682-4;1.0478
P61224;1.1479
P16949;0.90948
P55884-2;0.83465
P40261;1.3011
P14868;1.2645
P35606;0.80455
P28066;1.1133
P23527;1.1125
Q92688;0.79788
P61586;1.0486
Q6YHK3;1.8556
Q03252;0.99233
Q92598;0.84845
Q02952;0.29407
P07108;2.2643
P00568;3.2385
P30040;1.2665
P49773;1.0824
P20618;1.0549
O15143;0.78009
Q9UI30;0.91243
P25788;1.118
P02786;0.99381
Q6VAB6;1.224
Q15393;0.92128
O00425;0.81563
P62318;1.0418
P28074;1.1272
P17931;3.1438
P47897;0.81545
Q9Y230;0.97954
Q9UBG0;0.76021
P56537;0.75757
P35221;1.2217
Q86UP2;1.3838
P49755;1.3219
Q15582;1.7487
Q9Y262;0.82741
P05413;24.844
O43776;1.1739
P24752;1.5438
P62841;0.87137
P00367;1.4711
P49189;1.2963
Q9BWD1;1.5335
Q96QK1;1.124
P62899-2;0.83464
P62316;0.83709
Q03001;1.4306
P04350;1.7682
Q71U36;1.869
Q32P28;1.2119
P35237;1.9901
Q14980;1.2317
P24539;1.6275
O60662;18.227
Q15056;0.85068
Q16643;1.3045
Q9UHQ9;6.2312
Q01518;0.75419
Q9Y224;0.98159
Q7L576;1.1492
P20020;1.7003
P06756;1.3353
P00491;0.45588
P05976;0.79271
P08648;0.41529
Q15691;1.1624
P26447;2.8853
Q15029;0.88001
P12829;54.715
Q99460;1.1373
P38117-2;1.6085
P00352;0.68728
Q04760;1.1624
Q9HDC9;1.2862
P50502;1.2241
P45974;1.1703
Q16891;1.2971
Q13404;0.91231
Q9HB71;0.88288
P14550;1.5903
O14980;1.095
Q13418;0.74076
O15260;0.98776
O75533;0.86539
O43143;0.75376
P61204;0.93365
P54886;1.2215
P51572-2;1.1298
O43795;0.88605
P05141;1.1009
Q9Y3I0;1.0798
Q8WWI1-3;0.64555
Q16222;0.23097
P23381;1.0874
P61077;1.0349
P07384;1.415
P48556;1.1167
P21291;0.61115
P48735;3.1342
P43487;0.74577
P09525;2.1212
P08123;1.5034
O15067;0.78211
P38606;1.3172
Q9H0U4;0.92512
Q15008;1.1227
P28838;1.1337
O60493;1.1053
O43399-5;0.74612
P36542;1.4532
O15511;0.8341
Q8N163;1.0524
Q93077;0.85868
P19237;50.176
P12270;0.98756
Q92841;1.0161
Q99426;0.83151
Q01105;0.87072
P99999;0.93239
Q99798;1.3132
P49591;1.1095
P31153;0.71093
P62273;0.76237
P07942;0.65626
Q9NTK5;1.2873
P17174;1.2458
P60228;0.87864
P12081;0.85766
P49419;1.6428
P15586;1.8647
P62191;1.0418
Q92896-2;1.1927
P61970;1.4992
Q99996-6;1.3179
Q9BVK6;1.1577
Q15404;0.80484
P11717;1.4167
P51571;1.028
Q13283;0.60437
P42677;0.82569
P84090;1.0854
P07954;1.0546
P62854;0.94673
O00560;1.3851
P53007;1.9928
P29144;1.2909
P22061-2;0.92298
O60763-2;1.1739
P02792;3.0282
Q92743;8.4928
P22102;0.64606
P14678-3;0.89439
P23919;0.77543
Q06323;1.9595
Q6ZMU5;12.916
E9PAV3;1.9462
P30626;1.1072
Q07955;0.93786
P63220;0.74347
P37108;1.1093
P61106;0.89343
Q53GG5-2;6.2915
Q9NP97;1.0678
Q13045;1.3573
P12955;2.074
Q9Y5B9;0.66444
P50281;2.5795
P36871;1.2596
P61026;1.1585
P61019;1.0297
Q15046;0.88221
P38159;0.98168
Q99733;1.0794
Q02543;0.93489
Q92974;1.6641
P67809;0.72176
P35222;1.1096
P62847;0.9388
Q9UNM6;1.0728
Q99714;1.8262
P17812;0.50745
P61221;0.69492
P30085;0.96132
P13804;1.4635
Q13347;0.75179
P31150;1.1415
O00232;1.0795
Q15185;1.0078
P62910;1.0128
Q5VYK3;1.2196
Q9Y3F4;0.93902
P15311;0.63856
P07602-3;3.6334
O75947;1.4751
Q9Y2Z9;0.73096
P62857;0.79407
Q15293;1.1869
P08962;2.1643
P09874;0.98737
Q15717;0.87682
Q99439;0.73382
P31942;0.995
P13535;10.512
P62304;0.83667
Q13435;0.81139
Q92900;0.96516
P11047;0.7556
P68402;1.1406
Q16401;1.2462
P21964;1.5671
Q7Z406-2;0.96749
Q9NR12;0.75912
Q16698;1.9178
P10644;1.1332
Q99729-3;0.55802
Q13310-3;0.79959
P50570;1.106
P62266;0.88812
P36957;1.2193
P16615;1.3259
P54819;1.4863
Q9UL46;1.3097
Q09028;0.89926
P49748;0.9709
Q01469;0.66249
P28161;2.6846
