Protein Group Accessions;Heavy/Light
Q5VT52;100.000
Q5VT52;100.000
P62258;95.536
Q09161;81.493
Q8NG31;74.263
Q8NG31;74.263
Q8NG31;74.263
Q03188;52.305
Q9H307;44.961
Q9H4L7;44.087
Q9H4L7;44.087
Q9UGN5;40.694
P15056;39.790
Q8IX01;37.491
O43768;37.043
O43768;37.043
O43768;37.043
O43768;37.043
O43768;37.043
O43768;37.043
P16403;30.271
Q13370;29.930
Q13370;29.930
P21333;27.563
Q8IX01;27.115
Q14980;26.943
Q6ULP2;25.290
Q6ULP2;25.290
Q8NG31;25.020
Q8NG31;25.020
P31946|Q04917|P61981;24.432
Q8NG31;23.848
Q8NG31;23.848
Q14676;22.971
Q13049;22.291
Q13049;22.291
Q8NG31;22.047
Q9NPI6;21.969
Q13049;21.681
Q13049;21.681
Q13049;21.681
P63104;21.491
Q8IYW5;21.394
O43768;21.361
O43768;21.361
O43768;21.361
Q8WWI1;21.248
Q13049;20.928
Q13049;20.928
Q09161;20.781
Q09161;20.781
Q09161;20.781
Q5UIP0;20.775
Q86U86;20.433
Q14980;18.276
Q09161;17.984
Q09161;17.984
Q15052;17.853
Q6WKZ4;17.414
O43768;17.279
O43768;17.279
P55201;17.253
Q9UKV3;17.182
Q9UKV3;17.027
Q9UKV3;17.027
Q6ULP2;16.199
Q9UKV3;15.848
O75132;15.749
P63104;15.706
Q9UKV3;15.265
Q9H4L7;15.182
Q9H4L7;15.182
P21333;15.056
Q9UKV3;14.634
Q9UKV3;14.572
Q9UKV3;14.572
Q15052;14.475
Q9NSK0;13.988
Q6ULP2;13.603
Q9BW61;13.471
Q9BW61;13.471
Q15052;13.469
O75152;13.400
Q8IYW5;13.134
Q15052;13.101
Q15052;13.101
P62753;13.098
P62753;13.098
Q9BW61;12.900
Q9BW61;12.900
Q7Z628;12.840
Q9H0B6;12.783
Q9H0B6;12.783
P62753;12.662
P62753;12.662
Q15052;12.618
O00115;12.598
P62753;12.502
Q9Y4K4;12.296
P62753;12.291
P62753;12.291
Q9UKV3;11.927
Q9UKV3;11.927
O75152;11.901
Q15052;11.799
P04049;11.767
Q8NG31;11.691
Q8NG31;11.691
O75369;11.665
Q14669;11.583
P55201;11.570
Q13370;11.544
Q9BW61;11.457
Q9BW61;11.457
Q8NG31;11.372
Q8NG31;11.372
Q8NG31;11.372
Q8NG31;11.372
Q8NG31;11.372
Q8NG31;11.372
Q8NG31;11.340
Q8NG31;11.340
Q8NG31;11.340
Q8NG31;11.340
Q5T200;11.338
Q9BW61;11.265
Q5K651;11.180
P46013;11.131
Q9BW61;11.126
Q9BW61;11.126
Q9Y2K2;11.124
Q15052;11.031
Q15052;11.031
Q5T200;10.706
Q9Y4K4;10.689
Q9NSK0;10.685
Q9NSK0;10.685
Q9NSK0;10.649
Q9NSK0;10.649
Q14980;10.260
Q14980;10.260
O43166;10.079
O43166;10.079
O43166;10.079
O43166;10.079
P11717;10.054
Q14980;9.866
Q14980;9.866
Q9NXR1;9.845
Q9NXR1;9.845
P25440;9.784
P25440;9.784
Q9NSK0;9.779
O43768;9.715
O43768;9.715
O43768;9.715
O43768;9.715
Q15052;9.660
Q9NXR1;9.652
Q9NXR1;9.634
P39748;9.603
P39748;9.603
P21333;9.549
Q9H0B6;9.520
Q9H0B6;9.520
Q14191;9.455
Q14191;9.455
Q7Z628;9.431
P21333;9.377
P21333;9.377
Q92609;9.310
Q14980;9.309
O94830;9.273
O94830;9.273
Q9H307;9.153
Q9NSK0;9.017
O94830;9.003
O94830;9.003
Q92609;9.001
P55201;8.954
Q9NXR1;8.842
O14618;8.806
Q92609;8.788
Q92609;8.788
O60927;8.766
Q03188;8.763
P04049;8.733
P04049;8.733
Q86V48;8.720
Q86V48;8.720
Q9NXR1;8.525
Q9NPH3;8.516
P21333;8.480
O60293;8.345
O60293;8.345
O43768;8.321
O43768;8.321
O43768;8.321
O43768;8.321
O43768;8.321
O43768;8.321
P62753;8.307
P62753;8.277
Q14191;8.235
Q14191;8.235
O43768;8.177
O43768;8.177
O43768;8.177
O43768;8.177
P21333;8.162
Q86V48;8.138
Q86V48;8.138
P62753;8.128
P62753;8.128
Q8N0Z3;8.112
Q9NXR1;8.025
Q9NXR1;8.025
Q7Z5R6;8.015
P55201;7.882
P55201;7.882
P55201;7.882
O60927;7.846
O60293;7.801
O60293;7.801
O60293;7.801
Q86V48;7.793
Q86V48;7.793
Q9H4A3;7.788
Q9H4A3;7.788
Q9NSK0;7.780
Q9NSK0;7.780
Q14669;7.779
Q14669;7.779
Q14669;7.779
P21333;7.713
O60927;7.667
P62753;7.626
P62753;7.626
O94830;7.617
O94830;7.617
P62753;7.560
P62753;7.420
P62753;7.420
P62753;7.420
P25440;7.407
Q4LE39;7.374
P15056;7.278
P21333;7.258
Q4LE39;7.238
Q4LE39;7.238
