Protein Group Accessions;Medium/Light
Q8NG31;100.000
Q8NG31;100.000
Q8NG31;100.000
Q9NPI6;100.000
Q9UGN5;86.137
Q14980;77.982
Q14980;66.418
Q14980;66.418
Q8NG31;65.765
Q8NG31;65.765
Q5VT52;64.061
Q5VT52;64.061
Q8NG31;63.179
Q8NG31;63.179
Q13370;60.736
Q13370;60.736
Q14980;54.863
Q9H4L7;54.726
Q9H4L7;54.726
Q9NSK0;53.137
O43768;52.836
O43768;52.836
O43768;52.836
O43768;52.836
O43768;52.836
O43768;52.836
Q8NG31;52.456
Q14676;50.744
Q9H0B6;47.506
Q9H0B6;47.506
Q5UIP0;47.211
Q9H0B6;44.108
Q9H0B6;44.108
P15056;43.853
Q9NSK0;41.533
Q9NSK0;41.533
Q8IX01;41.484
O43768;40.973
O43768;40.973
O43768;40.973
Q9NSK0;40.692
Q9NSK0;40.692
P55201;39.517
Q6WKZ4;38.221
Q14980;37.344
Q15154;37.210
O14618;37.205
Q15052;36.545
Q14980;35.471
Q14980;34.318
Q14980;34.318
Q9NSK0;34.188
Q5T200;33.209
Q5T200;32.908
Q9H0B6;32.770
Q14980;32.506
Q9NSK0;31.308
Q15154;30.608
Q8IX01;29.503
Q8NG31;29.339
Q8NG31;29.339
Q15052;29.049
O43768;28.622
O43768;28.622
Q8NG31;28.607
Q8NG31;28.607
Q8NG31;28.607
Q8NG31;28.607
Q8NG31;28.607
Q8NG31;28.607
Q8NG31;27.884
Q8NG31;27.884
Q8NG31;27.884
Q8NG31;27.884
Q09161;27.254
Q9NSK0;27.199
Q9NSK0;27.199
Q15052;27.001
Q15052;27.001
Q15052;26.991
Q9HC35;26.970
P55201;26.280
O75152;26.133
P62753;24.906
Q13370;24.700
Q15052;23.782
Q9H4L7;22.959
Q9H4L7;22.959
Q15052;22.419
Q15052;22.419
Q15154;22.275
P21333;22.202
Q9UKV3;21.508
P55201;20.927
Q9NXR1;20.641
Q9NXR1;20.641
Q9UKV3;20.315
Q9UKV3;20.315
P21333;20.132
Q9NXR1;20.122
Q15052;20.115
P46013;19.753
Q13049;19.423
Q13049;19.423
Q9UKV3;19.418
P25440;19.397
P25440;19.397
Q9NXR1;19.374
Q15052;19.317
Q03188;19.123
Q9UKV3;19.090
Q13049;19.001
